City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Chuy,UY,62.29,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
126,Palauig,PH,82.24,overcast clouds,15.435,119.9045,Alperi Botique Resort
127,Santa Maria,BR,60.96,clear sky,-29.6842,-53.8069,Hotel Morotin
128,Vasto,IT,43.48,overcast clouds,42.1243,14.7059,Hotel President
129,Grandview,US,59.99,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
130,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
131,George Town,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
132,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
135,Maunabo,PR,78.64,few clouds,18.0072,-65.8993,Maunacaribe
136,Roald,NO,38.75,light snow,62.5833,6.1333,Flem Cabins
137,Dongsheng,CN,37.99,clear sky,39.8161,109.9776,Crowne Plaza Ordos
138,Ilulissat,GL,26.62,scattered clouds,69.2167,-51.1,Hotel Arctic
139,Ylojarvi,FI,26.94,overcast clouds,61.5563,23.5961,Hotel Lamminpää
140,Huilong,CN,52.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
141,Odweyne,SO,74.07,scattered clouds,9.4092,45.064,Eng Hiirey House
142,Iqaluit,CA,26.33,overcast clouds,63.7506,-68.5145,Frobisher Inn
143,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
144,Areosa,PT,44.42,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
145,Port Lincoln,AU,64.35,few clouds,-34.7333,135.8667,Port Lincoln Hotel
146,Smithers,CA,43.12,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
147,Santa Cruz,BO,71.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
148,Jiaocheng,CN,55.13,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
149,Honningsvag,NO,29.95,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
150,Margate,GB,39.87,clear sky,51.3813,1.3862,Premier Inn Margate hotel
151,Nikolskoye,RU,26.87,clear sky,59.7035,30.7861,Tourist House - Sablino
152,Lewistown,US,48.81,clear sky,40.5992,-77.5714,Quality Inn & Suites
153,Itarema,BR,75.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
154,Tasiilaq,GL,26.76,snow,65.6145,-37.6368,The Red House
155,Saint George,US,80.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
156,Hailar,CN,32.05,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
157,Paamiut,GL,31.3,broken clouds,61.994,-49.6678,Pistut
158,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
160,Dong Hoi,VN,63.45,overcast clouds,17.4833,106.6,Nam Long Hotel
161,Chisinau,MD,49.93,overcast clouds,47.0056,28.8575,Cosmos Hotel
162,Mogadishu,SO,80.62,broken clouds,2.0371,45.3438,Hotel Juba
163,Andenes,NO,25.93,overcast clouds,69.3143,16.1194,Hotell Marena
164,Vangaindrano,MG,69.85,clear sky,-23.35,47.6,Hotel Fanilo
165,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
166,Atikokan,CA,33.31,light snow,48.7555,-91.6216,Quetico Inn (formerly Radisson)
167,Te Anau,NZ,65.14,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
168,Cabo San Lucas,MX,80.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
169,Cidreira,BR,70.79,clear sky,-30.1811,-50.2056,Hotel Castelo
171,Asau,RO,38.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
172,Katsuura,JP,53.11,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
174,Bilma,NE,82.58,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
175,Arraial Do Cabo,BR,76.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
176,Mankono,CI,73.35,heavy intensity rain,8.0586,-6.1897,Hôtel cotonputeur
177,Vao,NC,79.2,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
178,Yellowknife,CA,7.32,broken clouds,62.456,-114.3525,The Explorer Hotel
180,Karratha,AU,82.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
181,Torbay,CA,36.57,broken clouds,47.6666,-52.7314,Gallows Cove
182,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
183,Olafsvik,IS,42.49,heavy intensity rain,64.8945,-23.7142,Hotel Olafsvik
184,Sagurong,PH,81.81,broken clouds,13.7805,122.9594,Tito Antolin Spring Resort
185,Murdochville,CA,27.48,light snow,48.9583,-65.5006,Les Suites économique Murdochville
186,Namtsy,RU,13.89,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
187,Silifke,TR,63.61,clear sky,36.3778,33.9344,Ayatekla Hotel
188,West Wendover,US,65.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
189,Olavarria,AR,60.03,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
190,Coquimbo,CL,60.75,clear sky,-29.9533,-71.3436,Hotel San Juan
191,North Bend,US,61.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
192,Evanston,US,37.47,light rain,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
193,Elmina,GH,81.25,overcast clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
194,Batagay,RU,4.66,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
195,Careiro Da Varzea,BR,75.81,heavy intensity rain,-3.2003,-59.8119,POUSADA DA ALDENORA
196,Shaoyang,CN,55.0,clear sky,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
197,Portland,US,60.75,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
198,Narsaq,GL,37.62,overcast clouds,60.9167,-46.05,Sleep In Narsaq
200,Moron,AR,67.75,clear sky,-34.6534,-58.6198,Hotel Morón
201,Ballina,AU,80.56,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
202,Flinders,AU,74.37,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
203,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
204,Pacifica,US,79.43,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
205,Naujoji Akmene,LT,24.46,clear sky,56.3167,22.9,"NAUJOJI AKMENĖ, viešbutis-kavinė"
206,Kruisfontein,ZA,60.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
207,Shenjiamen,CN,51.03,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
208,Tha Chang,TH,81.21,scattered clouds,9.2642,99.1922,สุริยาค้าไม้
209,Bandarbeyla,SO,77.13,scattered clouds,9.4942,50.8122,JABIR HOTEL
210,Tres Arroyos,AR,60.93,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
211,Barcelos,PT,49.68,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
212,Dhar,IN,75.92,clear sky,22.6,75.3,SPOT ON 49205 Hotel Shrinath Residency
213,Dulce Nombre De Culmi,HN,93.43,clear sky,15.1,-85.5333,Hotel Zuniama
215,Faanui,PF,82.26,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
216,Flin Flon,CA,30.65,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
217,Belaya Kholunitsa,RU,27.93,light snow,58.84,50.8528,Greyt-Fild
218,Cairns,AU,89.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
219,Salinopolis,BR,78.78,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
220,Port Elizabeth,ZA,63.32,moderate rain,-33.918,25.5701,39 On Nile Guest House
221,Vicuna,CL,68.77,clear sky,-30.0319,-70.7081,Los Mosaicos
223,Oyama,JP,50.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
224,Ladario,BR,72.54,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
225,Miguel Pereira,BR,69.73,overcast clouds,-22.4539,-43.4689,Quarto dos Sonhos
226,Colares,PT,53.76,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
227,Andapa,MG,66.74,scattered clouds,-14.65,49.65,Ramanandraibe Andapa
228,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
229,Mana,GF,77.81,overcast clouds,5.6592,-53.7767,LE SAMANA
231,Chiang Rai,TH,66.99,broken clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
232,Chiang Khong,TH,60.33,clear sky,20.2613,100.4046,Chiangkhong Green Inn Resident
233,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
234,Mersing,MY,73.31,moderate rain,2.4312,103.8405,Timotel Hotel
235,Puerto Cabezas,NI,77.34,few clouds,14.0351,-83.3888,Cabaña Caribe
237,Mocajuba,BR,75.11,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
239,Ende,ID,80.58,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
240,Riviere-Au-Renard,CA,35.89,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
241,Biak,ID,78.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
242,San Juan,AR,67.98,clear sky,-31.5375,-68.5364,Hotel Provincial
243,Omboue,GA,73.42,overcast clouds,-1.5746,9.2618,Hotel Olako
245,Wanning,CN,63.05,overcast clouds,18.8003,110.3967,Paradise Hotel
246,Broken Hill,AU,67.71,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
247,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
248,Grand Baie,MU,76.44,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
249,Aguilas,ES,52.0,overcast clouds,37.4063,-1.5829,Hotel Carlos III
250,Kosa,RU,24.85,overcast clouds,59.9445,54.9977,Gostinitsa V Kose
251,Svetlogorsk,BY,30.74,light snow,52.6333,29.7333,Hotel Svetlogorsk JBIK
252,Narasannapeta,IN,77.63,scattered clouds,18.4167,84.05,AVK events and catering
255,Touros,BR,77.61,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
256,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
