City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Karratha,AU,-20.7377,116.8463,82.78,72,0,5.19,clear sky
181,Torbay,CA,47.6666,-52.7314,36.57,87,75,21.85,broken clouds
182,Butaritari,KI,3.0707,172.7902,81.64,77,47,16.22,light rain
183,Olafsvik,IS,64.8945,-23.7142,42.49,98,100,9.91,heavy intensity rain
184,Sagurong,PH,13.7805,122.9594,81.81,61,81,10.85,broken clouds
185,Murdochville,CA,48.9583,-65.5006,27.48,90,96,21.09,light snow
186,Namtsy,RU,62.7161,129.6658,13.89,91,100,5.46,overcast clouds
187,Silifke,TR,36.3778,33.9344,63.61,60,2,0.85,clear sky
188,West Wendover,US,40.7391,-114.0733,65.41,16,0,18.41,clear sky
189,Olavarria,AR,-36.8927,-60.3225,60.03,69,1,11.48,clear sky
190,Coquimbo,CL,-29.9533,-71.3436,60.75,82,1,3.42,clear sky
191,North Bend,US,43.4065,-124.2243,61.25,80,0,19.57,clear sky
192,Evanston,US,42.0411,-87.6901,37.47,93,75,11.5,light rain
193,Elmina,GH,5.0898,-1.348,81.25,87,94,8.99,overcast clouds
194,Batagay,RU,67.6333,134.6333,4.66,89,81,0.18,broken clouds
195,Careiro Da Varzea,BR,-3.2003,-59.8119,75.81,96,100,3.74,heavy intensity rain
196,Shaoyang,CN,27.2315,111.4525,55.0,73,1,0.47,clear sky
197,Portland,US,45.5234,-122.6762,60.75,49,40,5.75,scattered clouds
198,Narsaq,GL,60.9167,-46.05,37.62,96,99,0.67,overcast clouds
199,Beringovskiy,RU,63.05,179.3167,5.5,82,90,14.94,overcast clouds
200,Moron,AR,-34.6534,-58.6198,67.75,61,0,8.08,clear sky
201,Ballina,AU,-28.8667,153.5667,80.56,69,99,3.44,overcast clouds
202,Flinders,AU,-34.5833,150.8552,74.37,60,66,11.99,broken clouds
203,Souillac,MU,-20.5167,57.5167,75.58,100,75,6.91,light rain
204,Pacifica,US,37.6138,-122.4869,79.43,61,75,21.85,haze
205,Naujoji Akmene,LT,56.3167,22.9,24.46,72,6,7.92,clear sky
